comment_id,post_id,user_id,comment_text,commented_at
96,1503,11,Great.,2024-08-27 05:45:04
97,2111,11,Nice.,2023-08-12 17:25:00
98,3555,12,Good.,2024-04-14 00:04:00
99,6653,12,Not bad.,2024-09-19 07:44:01
100,3439,12,Great.,2023-05-28 04:43:09
101,584,12,Interesting.,2023-11-20 03:45:25
102,3603,12,Interesting.,2024-05-24 11:04:32
103,5131,13,Could be better.,2024-05-12 06:44:51
104,6748,13,Good.,2023-01-24 16:58:09
105,1734,13,Awesome.,2024-12-01 21:30:00
106,1516,13,Amazing.,2024-03-23 07:10:55
107,3681,14,Could be better.,2023-01-25 09:20:03
108,5121,14,Well done.,2024-04-12 05:12:26
109,39,14,Not bad.,2024-12-28 06:14:28
110,5188,14,Nice.,2023-10-05 10:11:21
111,1550,14,Not bad.,2023-12-09 13:36:32
112,5429,14,Good.,2023-12-30 00:34:14
113,2505,14,Interesting.,2023-05-08 04:06:02
114,5214,14,Great.,2024-07-02 03:29:27
115,3322,14,Interesting.,2023-04-29 13:34:20
116,2012,15,Not bad.,2024-12-06 15:52:37
117,6373,15,Could be better.,2023-01-30 10:38:10
118,3647,15,Good.,2023-03-01 11:07:54
119,5269,15,Not bad.,2024-11-19 20:23:35
120,83,15,Great.,2024-10-12 03:03:00
121,5564,15,Well done.,2024-05-22 10:39:32
122,3305,15,Good.,2023-05-30 08:23:04
123,6340,15,Nice.,2023-09-01 01:17:27
124,5451,15,Not bad.,2023-10-11 22:03:02
125,857,15,Great.,2024-12-21 01:01:53
126,4187,15,Nice.,2023-02-09 05:05:32
127,2588,16,Amazing.,2023-08-09 22:54:27
128,2483,16,Amazing.,2024-10-23 10:45:03
129,100,16,Awesome.,2023-09-04 18:57:01
130,3537,16,Awesome.,2024-09-06 07:01:29
131,2872,16,Amazing.,2024-11-10 10:19:08
132,330,16,Well done.,2023-01-17 16:01:14
133,6256,16,Interesting.,2024-05-16 04:01:20
134,992,16,Could be better.,2024-09-23 03:15:34
135,4761,16,Good.,2024-02-18 22:41:33
136,1724,16,Nice.,2023-08-06 01:10:51
137,3217,16,Could be better.,2023-12-24 08:34:21
138,1960,16,Awesome.,2024-05-23 13:08:00
139,2059,16,Awesome.,2024-06-18 13:54:07
140,5097,16,Interesting.,2023-12-22 02:46:25
141,4409,16,Awesome.,2023-01-20 14:07:27
142,3541,17,Could be better.,2024-12-22 17:09:08
143,2840,17,Could be better.,2024-11-24 03:43:47
144,2287,17,Not bad.,2024-05-15 22:03:58
145,1147,17,Awesome.,2023-03-16 05:26:44
146,2371,17,Great.,2024-05-28 20:53:28
147,3945,17,Good.,2024-03-13 06:32:31
148,3448,17,Great.,2023-02-03 23:12:50
149,4753,17,Good.,2023-02-27 21:52:38
150,2021,17,Could be better.,2024-05-30 13:18:22
151,6886,17,Interesting.,2024-09-17 21:28:54
152,4486,17,Could be better.,2024-11-19 01:45:49
153,2946,18,Nice.,2024-04-05 19:46:40
154,6741,18,Great.,2024-11-23 07:28:51
155,5443,18,Awesome.,2024-05-20 14:19:07
156,4550,18,Nice.,2024-09-16 18:55:54
157,2484,18,Could be better.,2024-07-30 01:11:55
158,3736,18,Great.,2023-08-13 08:16:09
159,6630,18,Great.,2024-07-28 01:54:15
160,1746,18,Not bad.,2023-08-14 13:44:34
161,3855,18,Interesting.,2024-02-28 20:07:05
162,6133,18,Interesting.,2024-02-07 22:47:32
163,1455,19,Interesting.,2023-03-25 14:09:59
164,1428,19,Interesting.,2024-01-18 09:14:49
165,1920,19,Good.,2024-10-03 14:38:34
166,4380,19,Good.,2024-07-17 17:10:53
167,2302,19,Amazing.,2024-11-09 23:26:07
168,2614,19,Great.,2024-08-14 00:50:31
169,5673,19,Amazing.,2023-05-25 09:33:55
170,2939,19,Well done.,2024-09-12 14:01:52
171,5766,19,Good.,2024-07-24 17:32:23
172,719,19,Well done.,2024-12-17 10:53:33
173,3295,19,Awesome.,2024-09-21 12:47:51
174,537,19,Amazing.,2024-01-20 20:25:32
175,6881,20,Amazing.,2024-02-08 13:23:45
176,2621,20,Amazing.,2024-11-25 09:40:47
177,1580,20,Interesting.,2023-01-17 19:38:25
178,5091,20,Not bad.,2024-06-18 18:49:07
179,6100,20,Interesting.,2023-06-17 07:29:30
180,1907,20,Good.,2024-08-17 13:47:12
181,6751,20,Awesome.,2023-12-04 15:27:29
182,4441,20,Great.,2024-03-01 21:58:44
183,4177,20,Good.,2024-08-18 22:53:37
184,3808,20,Nice.,2024-01-27 23:43:04
185,3398,20,Great.,2023-12-21 23:00:26
186,2487,20,Amazing.,2023-04-21 01:21:05
187,6143,20,Well done.,2023-02-11 09:28:35
188,5147,20,Amazing.,2023-09-14 18:13:40
189,6764,21,Nice.,2023-08-14 08:36:16
190,191,21,Could be better.,2024-07-28 13:04:58
191,5311,21,Great.,2023-07-19 14:11:29
192,4902,21,Well done.,2024-08-15 00:06:02
193,6324,21,Awesome.,2023-02-24 23:28:38
194,4476,21,Not bad.,2023-05-18 05:50:41
195,3736,21,Interesting.,2024-03-09 00:45:53
196,522,21,Amazing.,2023-06-04 09:48:22
197,3057,22,Not bad.,2023-03-09 03:20:20
198,98,22,Amazing.,2023-05-13 03:43:30
199,4056,22,Nice.,2023-10-19 23:29:19
200,2484,22,Awesome.,2023-06-30 18:33:44
201,6153,22,Not bad.,2024-01-14 12:57:30
202,614,23,Nice.,2024-04-05 17:23:53
203,4460,23,Well done.,2023-12-23 02:02:40
204,3355,24,Awesome.,2023-03-10 09:30:49
205,1984,24,Could be better.,2023-06-18 11:20:39
206,6331,24,Could be better.,2023-06-25 16:34:53
207,2946,24,Amazing.,2023-09-30 16:52:17
208,433,24,Not bad.,2024-03-06 17:33:14
209,3113,24,Well done.,2024-05-08 11:28:28
210,5135,24,Not bad.,2024-10-12 13:08:03
211,5054,24,Not bad.,2023-02-04 19:00:51
212,4582,24,Not bad.,2024-11-24 20:28:01
213,2105,24,Well done.,2023-12-27 14:04:56
214,2615,24,Not bad.,2023-04-08 02:34:20
215,5144,24,Awesome.,2024-11-11 05:03:37
216,4730,24,Great.,2024-08-02 02:34:42
217,6055,24,Interesting.,2023-11-14 00:14:09
218,2344,24,Awesome.,2024-08-09 20:58:35
219,1996,25,Nice.,2024-08-12 23:39:00
220,5742,25,Nice.,2023-10-01 07:31:49
221,4591,25,Good.,2023-07-05 17:06:18
222,5685,25,Nice.,2023-12-19 03:30:02
223,2309,25,Not bad.,2023-05-18 17:29:29
224,1889,26,Could be better.,2023-09-26 22:41:05
225,1961,26,Awesome.,2024-12-22 01:59:32
226,6421,26,Good.,2024-03-28 02:00:34
227,4025,26,Interesting.,2023-07-11 04:11:00
228,6456,26,Awesome.,2024-06-23 18:00:46
229,1017,26,Awesome.,2024-07-17 04:16:01
230,3342,26,Not bad.,2024-02-02 07:54:46
231,6361,27,Nice.,2023-09-30 13:13:28
232,4177,27,Awesome.,2024-07-30 09:35:46
233,6742,27,Not bad.,2023-01-09 02:11:36
234,1980,27,Well done.,2023-07-11 05:17:13
235,198,27,Could be better.,2024-11-07 19:44:24
236,89,27,Amazing.,2024-10-28 01:10:02
237,3357,27,Well done.,2023-02-09 18:38:38
238,3746,27,Could be better.,2023-06-22 11:13:42
239,1488,27,Amazing.,2023-10-23 14:23:20
240,6751,27,Good.,2023-06-27 15:57:40
241,3648,27,Amazing.,2023-11-11 04:05:22
242,1109,27,Good.,2023-04-19 17:23:28
243,6702,28,Not bad.,2023-10-23 13:50:58
244,223,28,Not bad.,2023-09-19 12:07:50
245,2899,28,Interesting.,2023-03-22 08:27:36
246,2491,28,Great.,2023-10-17 00:15:44
247,6628,28,Good.,2023-09-09 07:08:20
248,2157,28,Not bad.,2024-07-20 00:13:18
249,1585,28,Interesting.,2023-03-10 21:50:15
250,696,28,Great.,2023-12-04 18:11:39
251,4295,28,Interesting.,2024-03-18 22:07:54
252,1764,28,Interesting.,2023-09-04 13:42:23
253,2745,28,Nice.,2024-07-02 15:34:07
254,2931,28,Could be better.,2024-08-16 06:00:00
255,4085,28,Well done.,2024-05-26 10:52:09
256,4780,29,Great.,2023-08-16 09:05:45
257,5515,29,Good.,2023-09-02 03:09:07
258,5242,29,Awesome.,2023-10-01 21:50:29
259,1076,29,Interesting.,2024-08-01 17:38:34
260,5468,29,Interesting.,2024-02-14 21:19:48
261,1317,29,Good.,2023-08-29 21:49:01
262,4831,29,Awesome.,2023-12-02 03:26:56
263,6647,29,Nice.,2024-11-23 01:09:32
264,2086,30,Nice.,2024-03-13 16:27:21
265,4973,30,Good.,2024-08-21 16:13:34
266,2332,30,Good.,2023-07-31 17:57:50
267,602,30,Could be better.,2024-05-27 20:07:48
268,6951,31,Awesome.,2024-12-16 17:31:25
269,2305,31,Nice.,2024-03-19 11:15:31
270,440,31,Great.,2024-12-14 08:54:14
271,4872,31,Well done.,2024-09-12 05:20:59
272,6846,31,Good.,2023-01-28 03:08:30
273,6090,31,Nice.,2023-07-15 06:26:02
274,4043,31,Not bad.,2023-07-31 12:47:12
275,6695,31,Interesting.,2023-11-09 16:08:18
276,2035,31,Interesting.,2023-06-14 23:13:01
277,2615,32,Interesting.,2023-06-08 04:11:06
278,2328,32,Nice.,2024-12-21 10:13:07
279,416,32,Amazing.,2024-07-06 14:06:32
280,6230,32,Amazing.,2023-03-31 05:06:26
281,735,32,Could be better.,2024-11-02 16:42:20
282,444,32,Amazing.,2023-01-31 09:17:14
283,2012,32,Nice.,2024-12-19 02:56:07
284,4923,32,Could be better.,2023-03-14 07:30:01
285,521,32,Could be better.,2024-05-21 08:09:41
286,3899,32,Could be better.,2024-03-26 23:41:49
287,1181,32,Great.,2023-01-20 10:18:45
288,1574,33,Could be better.,2023-11-05 19:05:49
289,5530,34,Well done.,2023-06-01 17:21:10
290,98,34,Awesome.,2023-09-01 19:12:43
291,1162,34,Interesting.,2024-06-01 06:16:34
292,2920,34,Not bad.,2023-11-28 14:27:18
293,2799,34,Not bad.,2023-10-05 13:47:52
294,2639,34,Could be better.,2023-09-27 12:34:31
295,1907,34,Interesting.,2024-02-11 04:04:24
296,2154,34,Nice.,2023-07-31 21:39:27
297,2650,34,Great.,2024-11-15 19:30:07
298,6859,34,Could be better.,2024-06-25 14:59:15
299,4842,34,Not bad.,2023-06-30 14:39:54
300,657,34,Could be better.,2023-05-04 03:46:31
301,320,34,Well done.,2024-01-14 09:47:31
302,1306,35,Good.,2023-08-21 06:18:56
303,6714,36,Amazing.,2024-03-08 19:51:05
304,6324,36,Nice.,2024-12-12 18:02:56
305,285,36,Interesting.,2024-12-07 22:48:23
306,4121,36,Could be better.,2023-11-07 05:06:06
307,3762,36,Amazing.,2024-09-15 17:36:09
308,6770,36,Amazing.,2023-05-20 17:53:27
309,3478,36,Good.,2023-03-31 10:54:11
310,1687,36,Interesting.,2024-05-11 07:40:33
311,5041,36,Great.,2023-05-28 19:48:39
312,1382,36,Awesome.,2023-08-20 13:46:59
313,2001,37,Great.,2023-02-17 13:58:29
314,391,37,Not bad.,2024-01-15 20:55:37
315,4501,37,Nice.,2024-04-30 15:32:26
316,779,37,Nice.,2024-06-25 17:34:25
317,5052,37,Could be better.,2024-08-25 18:10:59
318,517,37,Amazing.,2024-11-17 09:15:13
319,3908,37,Could be better.,2023-03-14 08:56:52
320,1687,37,Interesting.,2024-06-26 16:19:07
321,2483,37,Nice.,2023-04-21 19:38:18
322,2495,37,Not bad.,2023-01-22 12:37:14
323,6860,37,Good.,2024-02-25 21:34:12
324,3329,37,Could be better.,2023-05-18 04:20:57
325,5645,37,Could be better.,2024-09-21 03:08:21
326,2266,37,Not bad.,2024-02-08 14:02:37
327,573,37,Good.,2023-07-21 23:02:44
328,6752,38,Good.,2023-01-03 04:34:47
329,5007,38,Not bad.,2023-01-23 06:24:53
330,2741,38,Nice.,2024-11-25 08:58:54
331,555,38,Well done.,2023-07-06 17:57:54
332,2990,38,Amazing.,2023-08-12 06:58:46
333,1242,38,Interesting.,2023-04-11 13:42:24
334,4645,38,Could be better.,2024-10-23 19:49:12
335,2197,38,Not bad.,2023-08-15 21:27:01
336,2228,38,Awesome.,2024-07-18 11:02:20
337,1870,38,Amazing.,2023-06-19 08:57:42
338,1634,38,Nice.,2024-05-10 10:26:14
339,6421,39,Awesome.,2024-02-19 13:43:40
340,3924,39,Amazing.,2023-03-07 06:52:30
341,1729,39,Nice.,2023-12-08 19:00:57
342,1603,39,Not bad.,2023-04-30 16:46:23
343,6238,39,Not bad.,2023-02-16 23:33:46
344,5616,39,Amazing.,2024-07-31 01:04:02
345,919,39,Nice.,2024-11-21 16:40:24
346,6916,40,Good.,2023-06-10 03:52:40
347,6409,40,Could be better.,2024-04-29 11:10:40
348,1477,40,Could be better.,2024-08-20 18:13:58
349,1343,40,Well done.,2024-09-28 17:57:09
350,1967,41,Could be better.,2024-05-24 18:22:10
351,5159,41,Good.,2023-03-19 00:27:14
352,4540,41,Well done.,2024-08-13 13:53:01
353,115,41,Not bad.,2024-02-04 22:01:24
354,2585,41,Could be better.,2023-05-04 08:43:03
355,4058,41,Great.,2024-02-24 07:21:58
356,6595,41,Well done.,2024-07-25 21:41:42
357,6665,41,Could be better.,2023-11-20 00:26:52
358,2690,41,Good.,2024-08-02 17:44:36
359,1044,41,Could be better.,2023-01-15 11:45:03
360,207,41,Interesting.,2023-05-19 03:05:53
361,5005,41,Amazing.,2023-12-17 09:19:20
362,470,41,Interesting.,2023-02-16 22:40:44
363,6972,41,Nice.,2023-08-02 14:56:42
364,558,41,Good.,2024-11-10 13:59:23
365,3883,42,Could be better.,2024-10-24 00:11:57
366,3543,42,Well done.,2023-11-05 01:36:17
367,6882,43,Awesome.,2023-08-29 18:22:59
368,6663,43,Well done.,2024-06-07 17:59:27
369,2248,43,Amazing.,2023-07-14 18:13:23
370,2379,43,Amazing.,2024-04-13 03:46:32
371,515,43,Interesting.,2023-09-23 16:40:27
372,1097,43,Could be better.,2024-10-16 14:23:59
373,5564,43,Amazing.,2024-03-26 02:38:14
374,165,44,Awesome.,2024-02-29 14:29:51
375,5663,44,Nice.,2023-04-12 23:11:03
376,3651,44,Nice.,2023-03-20 17:24:14
377,2937,44,Great.,2024-06-21 18:47:19
378,5718,44,Great.,2024-12-26 08:04:52
379,4705,44,Could be better.,2023-10-20 16:04:37
380,1735,45,Not bad.,2023-09-28 01:22:44
381,1304,45,Awesome.,2024-06-22 00:49:30
382,966,45,Not bad.,2024-02-18 14:11:58
383,3895,45,Interesting.,2023-10-17 00:17:53
384,5944,45,Well done.,2023-01-30 11:01:27
385,6617,45,Good.,2024-06-04 03:29:02
386,262,45,Well done.,2024-06-05 21:52:16
387,6716,45,Interesting.,2024-10-17 08:33:51
388,6690,45,Could be better.,2023-08-26 04:54:51
389,5534,45,Awesome.,2023-05-10 22:26:44
390,4911,45,Interesting.,2023-07-15 03:28:08
391,1407,46,Interesting.,2024-03-24 05:50:29
392,534,46,Great.,2023-02-07 21:25:18
393,1336,46,Great.,2024-03-21 12:15:43
394,2415,46,Interesting.,2024-11-28 11:34:42
395,3239,46,Great.,2023-03-09 23:26:16
396,4913,46,Well done.,2024-03-19 00:39:39
397,5160,46,Well done.,2023-12-18 08:59:08
398,1302,46,Awesome.,2024-01-28 13:16:21
399,3801,46,Could be better.,2023-04-01 16:34:13
400,3086,46,Not bad.,2024-02-03 16:11:53
401,754,47,Interesting.,2024-01-18 10:29:38
402,2441,47,Nice.,2024-09-09 05:53:50
403,48,47,Great.,2023-01-22 11:23:29
404,2880,47,Amazing.,2024-06-16 06:19:55
405,3398,47,Great.,2023-09-26 10:56:32
406,2606,47,Interesting.,2024-03-09 07:32:06
407,1470,47,Not bad.,2024-12-05 18:52:16
408,1539,47,Good.,2023-12-09 00:20:27
409,1334,47,Awesome.,2024-09-19 19:49:28
410,3996,47,Amazing.,2024-01-04 19:44:22
411,5018,47,Nice.,2023-06-07 17:23:49
412,1897,47,Good.,2023-10-24 04:02:34
413,4428,48,Good.,2023-08-30 18:04:32
414,3329,48,Great.,2023-01-11 04:07:08
415,1199,48,Could be better.,2023-10-17 14:12:27
416,2351,48,Great.,2024-04-05 14:05:48
417,3654,48,Amazing.,2024-08-27 09:51:01
418,4405,48,Good.,2024-06-11 00:01:07
419,2732,48,Great.,2023-07-24 06:02:40
420,16,48,Well done.,2023-05-23 01:11:57
421,710,48,Awesome.,2023-01-08 11:37:27
422,1251,48,Not bad.,2024-09-21 04:51:34
423,2652,48,Good.,2024-11-21 15:45:21
424,3322,48,Not bad.,2023-10-13 10:51:24
425,3713,48,Not bad.,2023-04-05 09:35:00
426,1891,48,Not bad.,2023-12-08 05:18:07
427,2785,49,Nice.,2023-05-14 04:02:20
428,1771,50,Awesome.,2024-12-15 03:45:50
429,3749,50,Amazing.,2023-08-04 00:28:19
430,4990,50,Interesting.,2024-11-21 17:16:51
431,4137,50,Good.,2023-01-24 21:27:56
432,2199,51,Well done.,2024-01-16 18:32:30
433,1206,51,Could be better.,2023-10-29 06:27:06
434,6609,51,Amazing.,2023-01-23 23:43:35
435,1112,51,Amazing.,2023-02-19 06:42:50
436,4262,52,Could be better.,2024-03-28 02:55:03
437,1009,52,Awesome.,2024-06-12 22:20:39
438,5108,52,Great.,2023-07-06 03:49:02
439,667,52,Well done.,2024-03-03 05:49:33
440,4033,52,Awesome.,2023-12-04 02:12:38
441,6494,52,Well done.,2023-12-20 13:13:41
442,3711,53,Awesome.,2024-03-14 02:06:49
443,3648,53,Interesting.,2024-11-02 21:39:15
444,6372,53,Great.,2023-10-22 18:15:36
445,6508,53,Awesome.,2024-01-06 17:34:53
446,4563,53,Great.,2024-09-06 03:56:33
447,1920,53,Nice.,2024-03-11 06:03:28
448,1316,53,Awesome.,2023-04-26 02:40:02
449,1653,53,Awesome.,2024-08-27 14:59:57
450,2745,53,Awesome.,2023-12-11 16:40:43
451,2528,53,Could be better.,2023-05-17 21:41:54
452,998,54,Amazing.,2023-11-07 09:38:24
453,2906,54,Could be better.,2023-06-10 21:03:02
454,1679,54,Awesome.,2024-11-03 23:15:13
455,3966,54,Could be better.,2023-03-16 07:10:20
456,1411,54,Nice.,2023-12-09 10:27:37
457,55,54,Awesome.,2024-07-31 17:36:31
458,596,54,Nice.,2024-10-07 02:31:28
459,734,54,Could be better.,2023-11-16 18:40:00
460,5337,54,Well done.,2023-06-17 16:08:27
461,763,54,Amazing.,2024-12-04 20:22:56
462,2442,56,Nice.,2024-12-30 03:53:40
463,3425,56,Good.,2024-08-06 00:34:47
464,4322,56,Amazing.,2023-10-25 21:11:30
465,6411,56,Interesting.,2023-12-10 09:34:12
466,800,56,Good.,2024-04-06 21:37:39
467,3214,56,Could be better.,2023-11-10 03:15:03
468,6104,56,Great.,2023-04-19 13:22:22
469,1320,56,Great.,2023-05-24 12:38:07
470,2973,56,Great.,2024-05-30 08:32:55
471,1862,56,Good.,2023-10-11 09:17:08
472,4893,56,Awesome.,2023-01-13 21:02:17
473,6545,56,Could be better.,2023-06-22 09:31:27
474,6586,56,Awesome.,2023-04-03 08:26:19
475,2312,56,Good.,2023-07-07 14:22:43
476,4564,57,Great.,2023-11-14 05:49:59
477,4741,57,Good.,2023-07-23 23:14:53
478,1656,57,Good.,2024-01-04 12:13:25
479,1313,57,Nice.,2024-12-22 11:23:58
480,531,57,Could be better.,2024-09-30 16:30:12
481,2855,57,Great.,2024-10-07 23:35:58
482,6064,57,Well done.,2023-08-05 21:29:31
483,3107,57,Not bad.,2024-01-07 08:33:42
484,4057,57,Amazing.,2023-08-10 12:48:18
485,2757,57,Not bad.,2023-10-29 10:18:04
486,2873,57,Could be better.,2024-04-06 07:42:19
487,857,57,Amazing.,2024-08-25 19:17:29
488,3942,58,Interesting.,2024-10-07 09:59:13
489,1546,58,Awesome.,2024-08-27 11:25:32
490,1906,58,Nice.,2023-08-10 12:53:57
491,2201,58,Good.,2024-08-07 23:34:10
492,1913,58,Interesting.,2023-09-09 03:04:05
493,5345,58,Well done.,2023-11-07 17:38:40
494,2272,58,Nice.,2023-06-03 17:31:37
495,5529,58,Awesome.,2023-02-10 23:14:25
496,6688,58,Good.,2024-11-08 23:37:17
497,6630,58,Amazing.,2023-03-02 05:45:25
498,1455,59,Could be better.,2024-08-03 06:26:14
499,3785,59,Awesome.,2024-03-11 11:54:10
500,1293,59,Great.,2023-03-25 13:43:48
501,5528,59,Awesome.,2024-06-06 17:16:35
502,6205,59,Could be better.,2024-06-03 05:13:49
503,6752,59,Awesome.,2024-08-20 03:31:00
504,2420,59,Well done.,2024-01-15 11:49:13
505,783,59,Could be better.,2024-08-26 16:17:33
506,728,59,Interesting.,2023-03-26 00:11:14
507,5099,59,Amazing.,2023-08-22 07:17:52
508,1414,60,Amazing.,2023-09-02 04:59:57
509,3866,60,Amazing.,2023-10-31 02:19:40
510,6783,60,Interesting.,2023-09-15 23:22:37
511,6951,60,Well done.,2024-02-12 19:33:18
512,3092,60,Not bad.,2024-04-11 06:07:13
513,2459,60,Interesting.,2024-02-18 14:23:24
514,6824,60,Great.,2023-03-29 10:12:57
515,5660,60,Nice.,2023-07-22 12:51:05
516,5922,60,Interesting.,2023-11-01 12:23:31
517,2536,60,Interesting.,2024-06-22 19:05:45
518,1696,60,Could be better.,2023-12-02 02:56:23
519,3765,60,Good.,2024-08-28 02:30:59
520,125,60,Good.,2024-07-06 14:04:14
521,4875,61,Well done.,2023-08-09 07:25:52
522,999,61,Nice.,2024-03-20 09:49:54
523,3396,61,Could be better.,2023-03-18 17:14:03
524,3303,62,Amazing.,2023-04-30 16:05:22
525,226,62,Nice.,2023-10-29 00:36:15
526,5062,62,Nice.,2023-07-13 12:49:21
527,6687,62,Interesting.,2023-01-30 12:31:13
528,1723,62,Awesome.,2024-04-18 21:07:06
529,6361,62,Amazing.,2023-01-19 07:34:44
530,6373,62,Great.,2024-10-23 00:20:39
531,5,62,Great.,2023-10-16 15:45:27
532,2820,62,Great.,2024-11-22 02:56:40
533,4391,62,Interesting.,2024-08-12 10:28:55
534,1758,63,Well done.,2023-05-07 20:08:18
535,3593,63,Awesome.,2023-01-20 20:07:03
536,3465,63,Great.,2023-02-23 22:46:35
537,4556,63,Nice.,2023-09-30 14:17:40
538,6973,63,Great.,2023-08-19 04:25:47
539,146,63,Interesting.,2023-12-22 16:08:56
540,6394,64,Great.,2023-11-13 21:18:34
541,1836,64,Great.,2023-11-28 16:50:21
542,6161,64,Interesting.,2023-12-22 18:10:32
543,4010,64,Good.,2023-10-10 19:07:44
544,5142,64,Awesome.,2023-04-06 18:17:23
545,1295,64,Not bad.,2023-09-19 03:49:37
546,1396,64,Interesting.,2023-03-14 21:40:07
547,1022,64,Not bad.,2024-02-08 01:27:47
548,507,64,Nice.,2024-08-11 06:21:24
549,1550,64,Could be better.,2024-01-30 14:03:04
550,6091,64,Good.,2023-04-03 03:34:14
551,8,64,Well done.,2024-03-17 12:05:45
552,146,64,Could be better.,2024-03-11 00:10:11
553,5133,65,Well done.,2024-08-15 06:04:56
